iter	Passed	Remaining
0	130	130829
1	132	66150
2	134	44688
3	137	34140
4	138	27549
5	139	23166
6	141	20125
7	143	17773
8	144	15900
9	145	14383
10	148	13310
11	148	12248
12	149	11338
13	149	10563
14	150	9885
15	151	9294
16	151	8769
17	152	8302
18	152	7884
19	153	7507
20	154	7181
21	154	6880
22	155	6604
23	156	6346
24	156	6109
25	157	5890
26	158	5695
27	158	5507
28	159	5339
29	160	5174
30	160	5018
31	161	4872
32	161	4734
33	162	4605
34	162	4482
35	163	4367
36	163	4258
37	164	4155
38	164	4056
39	165	3963
40	165	3875
41	166	3791
42	166	3711
43	167	3634
44	167	3561
45	168	3496
46	169	3429
47	169	3366
48	170	3305
49	170	3246
50	171	3193
51	172	3140
52	172	3090
53	173	3044
54	174	2997
55	174	2949
56	175	2902
57	175	2857
58	176	2814
59	176	2772
60	177	2732
61	177	2692
62	178	2655
63	179	2618
64	179	2583
65	180	2548
66	180	2514
67	181	2482
68	181	2450
69	182	2419
70	182	2390
71	183	2363
72	183	2335
73	184	2308
74	185	2281
75	185	2259
76	186	2234
77	187	2210
78	187	2188
79	188	2167
80	189	2147
81	189	2125
82	190	2100
83	190	2078
84	191	2057
85	191	2036
86	192	2016
87	192	1996
88	193	1976
89	193	1957
90	194	1939
91	194	1920
92	195	1903
93	195	1885
94	196	1868
95	196	1851
96	197	1835
97	197	1820
98	198	1806
99	199	1792
100	199	1779
101	200	1764
102	200	1750
103	201	1736
104	202	1722
105	202	1709
106	203	1697
107	204	1685
108	204	1672
109	205	1659
110	205	1646
111	206	1633
112	206	1621
113	207	1609
114	207	1597
115	208	1585
116	208	1573
117	209	1562
118	209	1551
119	210	1540
120	210	1529
121	210	1518
122	211	1508
123	212	1498
124	212	1487
125	213	1479
126	213	1469
127	214	1460
128	215	1451
129	215	1442
130	216	1433
131	216	1425
132	217	1417
133	218	1408
134	218	1401
135	219	1393
136	219	1384
137	220	1376
138	220	1367
139	221	1359
140	221	1351
141	222	1342
142	222	1334
143	223	1326
144	223	1319
145	224	1311
146	224	1303
147	225	1296
148	225	1289
149	226	1281
150	226	1274
151	227	1267
152	228	1264
153	229	1262
154	230	1256
155	231	1250
156	231	1244
157	232	1239
158	233	1234
159	234	1229
160	234	1223
161	235	1216
162	235	1210
163	236	1205
164	237	1199
165	237	1194
166	238	1188
167	238	1183
168	239	1177
169	240	1172
170	240	1167
171	241	1162
172	242	1157
173	243	1154
174	243	1149
175	244	1145
176	245	1140
177	245	1135
178	246	1130
179	247	1126
180	247	1122
181	248	1118
182	249	1115
183	250	1110
184	250	1105
185	251	1100
186	252	1096
187	252	1092
188	253	1087
189	254	1083
190	254	1078
191	255	1074
192	255	1069
193	256	1064
194	256	1060
195	257	1055
196	258	1052
197	258	1048
198	259	1044
199	260	1040
200	260	1036
201	261	1032
202	261	1028
203	262	1024
204	263	1021
205	264	1019
206	265	1016
